Student_ID,Group_ID,Brightness,Noise,Flexibility
S201,20,43,36,5
S202,20,9,42,5
S203,20,57,35,1
S204,20,90,23,3
S205,20,75,33,4
S206,20,35,49,5
S207,20,64,31,5
S208,20,17,43,4
S209,20,56,33,3
S210,20,76,37,4
S211,20,67,31,1
S212,20,15,53,4
S213,20,85,27,3
S214,20,72,59,5
S215,20,47,33,2
S216,20,41,24,4
S217,20,53,41,1
S218,20,53,32,5
S219,21,75,41,1
S220,21,49,41,3
S221,21,38,38,4
S222,21,69,45,4
S223,21,56,40,4
S224,21,73,33,2
S225,21,95,49,1
S226,21,44,36,2
S227,21,28,41,4
S228,21,14,50,2
S229,21,53,43,3
S230,21,34,45,1
S231,22,43,35,3
S232,22,46,45,1
S233,23,58,35,3
S234,23,65,41,5
S235,23,41,56,5
S236,23,34,29,2
S237,23,42,39,4
S238,23,60,33,4
S239,23,71,47,5
S240,23,65,20,1
S241,23,95,45,5
S242,23,21,36,1
S243,23,60,38,1
S244,23,74,54,4
S245,23,60,38,3
S246,23,45,46,2
S247,24,42,40,1
S248,24,76,43,3
S249,24,65,38,2
S250,24,56,31,2
S251,24,61,36,3
S252,24,39,43,2
S253,24,47,42,2
S254,24,76,31,2
S255,24,91,35,5
S256,24,52,36,1
S257,25,73,38,4
S258,25,36,37,1
S259,25,49,32,2
S260,25,61,35,2
S261,25,51,45,3
S262,25,100,26,1
S263,25,58,40,2
S264,25,47,42,1
S265,25,90,31,4
S266,25,45,28,5
S267,25,83,39,5
S268,25,60,36,2
S269,25,92,65,3
S270,25,91,50,4
S271,25,50,38,5
S272,25,78,45,4
S273,25,72,47,2
S274,26,73,28,2
S294,27,59,44,3
S295,27,54,42,1
S296,27,54,39,1
S297,27,91,37,2
S298,27,62,29,4
S299,27,30,32,3
S300,27,81,56,1
S301,27,60,45,3
S302,27,41,30,4
S303,27,0,33,2
S304,27,76,29,5
S305,27,46,44,5
S306,27,66,25,2
S307,27,64,51,2
S308,27,99,39,1
S309,27,74,33,1
S310,28,35,45,3
S311,28,56,42,5
S312,28,65,60,4
S313,28,52,23,4
S314,28,30,22,4
S315,28,28,20,5
S316,28,29,26,5
S317,28,83,48,3
S318,28,50,37,5
S319,28,28,40,5
S320,28,66,53,5
S321,28,63,41,3
S322,28,45,40,3
S323,28,49,32,1
S324,28,59,37,3
S325,28,87,34,5
S326,28,69,40,5
S327,28,54,37,3
S328,29,75,32,5
S329,29,56,36,4
S330,29,74,41,5
S331,29,59,46,2
S332,30,67,51,2
S333,30,70,41,4
S334,30,19,45,5
S335,30,51,32,4
S336,30,46,34,1
S337,30,90,33,4
S338,30,28,50,1
S339,30,49,45,5
S340,31,73,51,1
S341,31,19,37,5
S342,31,81,39,4
S343,31,62,19,2
S344,31,74,42,4
S345,31,61,37,4
S346,31,65,42,2
S347,31,48,58,1
S348,31,53,28,2
S349,31,54,51,4
S350,31,63,52,4
S351,31,48,51,5
S352,31,56,41,4
S353,31,58,40,5
S354,31,94,44,3
S355,31,48,32,5
S356,31,47,45,2
S357,31,37,50,4
S358,31,83,38,5
S359,32,89,43,1
S360,32,41,40,4
S361,32,44,28,4
S362,32,45,37,1
S363,32,50,38,1
S364,33,45,44,2
S365,33,58,41,4
S366,33,38,37,1
S367,33,43,28,5
S368,33,63,54,4
S369,33,50,49,2
S370,33,42,47,1
S371,33,64,30,2
S372,33,36,46,4
S373,33,69,44,1
S374,33,58,49,4
S375,33,58,20,4
S376,33,74,42,5
S377,33,34,42,3
S378,33,42,56,1
S379,33,43,39,1
S380,34,86,31,4
S381,34,52,50,4
S382,34,67,27,5
S383,34,63,47,2
S384,34,76,16,2
S385,34,81,53,1
S386,34,37,27,1
S387,34,51,36,1
S388,35,63,55,4
S389,35,76,43,5
S390,35,56,25,5
S391,36,55,48,4
S392,36,37,50,1
S393,36,46,40,5
S394,37,80,37,2
S414,38,74,39,1
S415,38,50,41,3
S416,38,66,43,4
S417,38,58,56,3
S418,38,54,31,5
S419,39,78,34,5
S439,40,93,30,2
S440,41,48,43,4
S441,41,76,30,2
S442,41,100,33,5
S443,41,69,51,1
S444,41,84,46,5
S445,41,55,43,1
S446,41,83,35,1
S447,41,43,56,4
S448,41,4,53,1
S449,41,88,51,5
S450,41,59,39,5
S451,41,64,30,5
S452,42,74,47,2
S453,42,65,33,2
S454,42,41,14,4
S455,42,51,44,1
S456,42,37,37,5
S457,42,31,49,4
S458,42,34,33,3
S459,42,93,29,1
S460,42,58,59,1
S461,42,51,51,4
S462,42,52,50,5
S463,42,56,35,1
S464,42,26,31,1
S465,42,93,48,1
S466,42,57,22,1
S467,42,70,42,5
S468,43,20,57,3
S469,43,98,45,4
S470,43,75,37,5
S471,43,31,44,5
S472,43,56,50,1
S473,43,49,54,2
S474,43,49,48,5
S475,43,7,34,5
S476,43,57,51,5
S477,43,62,49,3
S478,43,27,36,5
S479,43,32,53,5
S480,43,78,45,2
S481,43,37,45,2
S482,43,40,40,1
S483,43,55,18,4
S484,43,15,39,2
S485,44,52,62,4
S486,44,49,44,3
S487,44,64,48,5
S488,44,87,44,3
S489,44,41,47,3
S490,44,36,37,5
S491,44,86,33,3
S492,44,78,40,2
S493,44,62,41,5
S494,44,71,38,5
S495,44,100,36,2
S496,44,84,27,4
S497,44,59,50,3
S498,44,90,43,5
S499,44,88,57,2
S500,44,67,46,4
S501,44,52,29,5
S502,44,44,27,5
S503,44,79,43,4
S504,45,40,39,4
S505,45,74,43,1
S506,45,63,23,1
S507,45,46,39,1
S508,45,66,39,5
S509,45,98,39,5
S510,45,73,47,4
S511,45,52,33,2
S512,45,57,37,2
S513,45,53,53,3
S514,45,66,47,2
S515,45,41,34,4
S516,45,78,55,3
S517,45,57,49,4
S518,45,51,51,1
S519,45,39,41,1
S520,45,52,27,3
S521,46,100,38,5
S522,46,90,52,5
S523,46,79,40,4
S524,47,95,53,5
S525,47,75,27,4
S526,47,80,38,3
S527,47,59,36,4
S528,47,39,37,2
S529,47,41,44,4
S530,47,65,42,3
S531,47,28,44,2
S532,47,75,36,2
S533,47,29,42,3
S534,47,46,40,3
S535,47,55,48,2
S536,47,46,50,5
S537,47,84,28,3
S538,47,71,23,2
S539,47,78,43,2
S540,48,87,34,5
S541,48,53,53,5
S542,48,65,48,4
S543,48,82,57,3
S544,48,47,51,1
S545,48,86,32,1
S546,48,24,51,1
S547,48,54,29,1
S548,48,67,36,2
S549,48,50,52,2
S550,48,55,49,5
S551,48,60,38,2
S552,49,93,32,3
S553,49,48,56,4
S554,49,52,26,4
S555,49,69,42,4
S556,49,63,35,5
S557,49,88,34,1
S558,49,61,52,1
S559,49,41,59,4
S560,49,92,31,4
S561,49,86,44,5
S562,49,56,32,5
S563,49,44,38,2
S564,50,44,41,1
S565,50,34,27,3
S566,50,100,29,3
S567,50,70,31,3
S568,51,29,39,3
S569,51,53,34,3
S570,51,70,28,2
S571,51,57,36,3
S572,51,28,40,4
S573,51,68,52,4
S574,51,87,23,4
S575,51,55,29,4
S576,51,55,45,3
S577,51,79,29,4
S578,51,56,36,2
S579,51,58,40,1
S580,51,43,32,2
S581,51,29,42,3
S582,51,57,27,2
S583,52,84,41,3
S584,53,65,51,1
S585,53,60,37,4
S586,53,47,48,5
S587,53,79,46,5
S588,53,62,54,2
S589,53,53,34,2
S590,53,0,57,2
S591,53,71,46,2
S592,53,42,36,1
S593,53,96,27,2
S594,53,100,21,5
S595,53,70,39,4
S596,53,43,40,1
S597,53,29,44,5
S598,53,46,33,2
S599,54,25,49,4
S600,54,64,41,5
S601,54,69,44,3
S602,54,33,27,2
S603,54,50,22,1
S604,54,29,44,3
S605,54,100,33,5
S606,54,66,50,3
S607,54,88,54,1
S608,54,100,52,1
S609,54,79,35,1
S610,54,60,53,1
S611,55,61,26,5
S612,55,59,48,4
S613,55,36,32,5
S614,55,59,53,4
S615,55,35,35,3
S616,55,35,39,3
S617,55,22,35,1
S618,55,64,53,5
S619,55,67,35,1
S620,55,58,51,5
S621,55,81,54,3
S622,55,75,35,5
S623,55,22,30,5
S624,55,47,21,2
S625,55,51,46,5
S626,55,53,36,4
S627,55,52,31,3
S628,55,85,51,3
S629,55,100,44,4
S630,56,61,38,5
S631,56,66,29,3
S632,56,45,42,4
S633,56,54,36,2
S634,57,86,40,4
S635,57,72,35,3
S636,57,75,37,3
S637,57,48,50,4
S638,57,62,39,4
S639,57,75,54,5
S640,57,77,63,4
S641,57,79,44,3
S642,57,29,51,2
S643,57,100,34,5
S644,57,91,37,3
S645,57,50,27,2
S646,57,41,48,1
S647,57,51,30,4
S648,58,43,37,4
S649,58,57,36,5
S650,58,62,44,3
S651,58,58,47,1
S652,59,40,42,1
S653,59,86,42,5
S654,59,89,34,1
S655,59,64,49,4
S656,59,45,18,3
S657,59,55,34,2
S658,59,83,58,2
S659,59,53,45,1
S660,59,89,48,5
S661,59,56,36,3
S662,59,69,41,4
S663,59,61,14,3
S664,59,73,45,5
S665,59,100,45,4
S666,59,72,33,2
S667,59,73,38,2
S668,59,45,39,2
S669,59,26,45,3
S670,59,67,42,3
S671,60,57,42,2
S672,60,52,31,1
S673,60,47,41,1
S674,60,64,45,5
S675,60,67,50,5
S676,60,64,34,3
S677,61,65,29,2
S678,61,74,33,2
S679,61,56,35,2
S680,61,82,62,2
S681,61,71,39,3
S682,61,35,31,2
S683,61,37,39,4
S684,61,45,37,5
S685,61,68,23,3
S686,61,69,47,2
S687,61,88,34,4
S688,61,81,47,1
S689,61,42,39,2
S690,62,79,23,1
S691,62,84,48,1
S692,62,40,49,1
S693,62,59,33,1
S694,62,27,55,1
S695,63,27,33,5
S696,63,39,46,4
S697,63,55,39,5
S698,63,87,54,3
S699,63,30,28,2
S700,63,69,25,4
S701,63,56,43,2
S702,63,39,32,3
S703,63,37,33,4
S704,63,67,53,2
S705,63,72,38,5
S706,63,47,40,2
S707,63,55,41,3
S708,63,41,17,4
S709,63,58,37,1
S710,63,50,45,5
S711,64,55,44,3
S712,64,46,32,1
S713,64,55,43,1
S714,64,63,24,4
S715,64,67,42,5
S716,64,81,33,1
S717,64,87,25,1
S718,64,51,30,4
S719,64,38,55,2
S720,64,77,34,3
S721,65,86,36,1
S722,65,20,57,1
S723,65,70,34,2
S724,65,73,32,2
S725,65,74,38,4
S726,65,40,42,4
S727,65,50,38,4
S728,66,82,42,5
S729,66,39,58,3
S730,66,85,34,1
S731,66,70,38,3
S732,66,80,54,2
S733,66,45,32,4
S734,66,57,27,2
S735,66,77,44,2
S736,66,66,36,1
S737,66,55,23,1
S738,66,63,44,2
S739,66,66,49,5
S740,66,77,40,2
S741,66,55,35,1
S742,66,17,35,5
S743,66,47,27,4
S744,66,80,30,2
S745,67,35,37,2
S746,67,75,36,1
S747,67,69,31,4
S748,67,42,46,4
S749,67,83,54,2
S750,67,7,38,1
S751,67,55,53,4
S752,67,90,45,5
S753,67,62,27,2
S754,67,29,34,5
S755,67,58,41,1
S756,68,18,10,5
S757,68,53,32,2
S758,69,85,29,2
S759,69,88,39,3
S760,69,42,53,2
S761,69,97,33,4
S762,69,66,22,3
S763,69,42,17,3
S764,69,100,35,1
S765,69,39,47,1
S766,69,54,46,1
S767,69,76,46,2
S768,69,50,50,2
S769,69,78,36,1
S770,69,73,32,2
S771,69,72,47,3
S772,69,49,37,2
S773,69,88,37,2
S774,69,63,32,2
S775,70,28,43,2
S776,70,82,31,3
S777,70,58,31,3
S778,70,50,44,2
S779,70,56,49,3
S780,70,14,43,3
S781,70,64,34,5
S782,70,58,41,1
S783,70,97,29,3
S784,70,54,34,4
S785,70,71,28,2
S786,70,82,35,2
S787,70,41,40,3
S788,70,85,45,3
S789,71,37,39,3
S790,71,60,18,3
S791,71,97,40,2
S792,71,61,45,3
S793,71,100,39,3
S794,71,69,27,4
S795,71,40,36,1
S796,71,39,22,2
S797,71,77,29,2
S798,71,20,33,5
S799,71,64,39,3
S800,71,55,40,3
S801,71,50,27,2
S802,71,44,41,1
S803,71,71,45,4
S804,71,45,38,5
S805,72,47,51,5
S806,72,52,32,1
S807,72,44,51,1
S808,72,18,34,5
S809,72,71,51,3
S810,72,57,56,4
S811,73,34,38,5
S812,73,76,53,4
S813,73,51,35,5
S814,73,59,29,1
S815,73,59,28,1
S816,73,85,35,5
S817,74,34,28,5
S818,74,62,33,5
S819,74,63,24,4
S820,74,59,39,1
S821,74,70,31,3
S822,74,61,34,2
S823,74,94,31,5
S824,74,71,22,3
S825,74,46,35,3
S826,75,60,27,3
S827,75,31,39,4
S828,75,44,31,1
S829,75,75,51,3
S830,76,64,47,5
S831,76,28,40,3
S832,76,55,56,3
S833,76,43,41,1
S834,76,59,33,3
S835,76,70,32,5
S836,76,37,63,1
S837,76,47,32,3
S838,76,86,32,3
S839,76,92,38,1
S840,77,63,27,3
S841,78,21,40,3
S842,78,41,42,3
S843,78,39,41,2
S844,78,71,44,1
S845,78,74,33,4
S846,78,33,42,4
S847,78,33,20,2
S848,78,76,23,2
S849,78,52,24,1
S850,78,54,39,3
S851,79,58,37,2
S852,79,87,34,5
S853,79,26,43,5
S854,79,56,54,5
S855,79,97,27,2
S856,80,66,54,4
S857,80,49,33,1
S858,81,42,33,5
S859,81,72,40,4
S860,81,32,31,2
S861,81,42,50,4
S862,81,58,32,1
S863,81,64,26,2
S864,82,57,53,5
S865,82,100,27,5
S866,82,67,16,5
S867,82,72,48,2
S868,82,65,42,4
S869,82,60,37,3
S870,82,27,56,5
S871,82,65,29,1
S872,82,32,56,5
S873,82,30,52,2
S874,82,50,38,1
S875,82,72,27,5
S876,82,35,34,2
S877,82,97,33,2
S878,82,52,32,1
S879,82,55,30,2
S880,82,84,53,4
S881,82,40,40,3
S882,82,93,27,4
S883,82,56,41,2
S884,83,83,29,2
S885,83,79,57,4
S886,83,91,22,1
S887,83,48,39,1
S888,84,90,18,1
S889,84,52,44,2
S890,84,65,33,1
S891,84,87,34,1
S892,84,82,29,3
S893,84,54,38,3
S894,84,67,59,4
S895,84,12,29,1
S896,84,100,27,2
S897,84,60,63,2
S898,84,31,47,1
S899,84,37,73,3
S900,84,40,27,4
S901,84,49,51,2
S902,85,70,46,5
S903,85,90,47,5
S904,85,54,48,4
S905,85,46,30,4
S906,85,55,34,2
S907,85,48,30,2
S908,85,29,38,2
S909,85,54,19,1
S910,85,29,45,5
S911,85,43,33,4
S912,85,61,59,2
S913,85,68,42,5
S914,85,28,38,2
S922,86,63,40,3
S923,86,66,51,3
S924,86,97,40,5
S925,86,48,49,4
S926,86,40,52,2
S927,86,31,30,1
S928,86,85,38,2
S929,86,90,40,5
S930,86,78,43,5
S931,86,27,49,1
S932,86,27,32,2
S933,86,62,44,1
S934,87,36,28,4
S935,87,85,46,5
S936,87,46,40,3
S937,87,63,51,3
S938,87,69,37,1
S939,87,53,32,2
S940,87,73,29,5
S941,87,45,40,1
S942,87,39,47,1
S943,87,67,21,3
S944,87,63,55,5
S945,87,0,27,5
S946,87,77,43,1
S947,87,38,56,3
S948,87,56,33,3
S949,88,51,42,3
S950,88,57,40,1
S951,88,50,32,2
S952,88,65,23,3
S953,88,87,37,5
S954,88,96,41,2
S955,88,80,24,2
S956,88,26,48,4
S957,88,32,25,4
S958,88,76,38,4
S959,88,53,38,3
S960,88,39,41,4
S961,88,86,44,1
S962,88,83,20,3
S963,89,36,38,5
S964,89,63,34,1
S965,89,81,37,1
S966,89,79,64,3
S967,89,61,38,1
S968,89,50,58,4
S969,89,61,28,3
S970,89,60,30,1
S971,89,56,46,1
S972,90,33,40,2
S973,90,98,45,2
S974,90,100,40,5
S975,90,90,21,1
S976,90,81,43,4
S977,90,46,28,2
S978,90,52,28,5
S979,90,72,42,5
S980,90,81,48,5
S981,90,70,37,3
S982,90,46,33,4
S983,90,100,27,1
S984,90,85,39,4
S985,90,73,60,5
S986,90,71,51,3
S987,90,42,35,1
S988,90,68,36,5
S989,90,72,36,2
S990,91,58,34,5
S991,91,55,38,4
S992,91,49,40,3
S993,91,75,53,5
S994,91,100,27,5
S995,91,70,36,2
S996,91,63,34,5
S997,91,72,16,5
S998,92,50,34,3
S999,92,44,32,4
S1000,92,75,48,3
S1001,92,39,46,5
S1002,92,60,37,2
S1003,92,70,54,1
S1004,92,51,34,5
S1005,92,53,49,3
S1006,92,55,32,1
S1007,92,44,43,5
S1008,92,26,41,5
S1009,92,43,53,2
S1010,92,61,31,2
S1011,93,74,26,2
S1012,93,64,38,1
S1013,93,30,36,2
S1014,94,37,41,1
S1015,94,62,44,2
S1016,94,79,45,5
S1017,94,75,31,4
S1018,94,69,18,4
S1019,94,8,50,2
S1020,94,30,27,2
S1021,94,45,32,4
S1022,94,85,36,1
S1023,94,68,40,5
S1024,94,59,32,5
S1025,94,36,40,5
S1026,94,79,26,2
S1027,94,59,38,3
S1028,94,61,37,1
S1029,94,54,40,1
S1030,95,38,50,5
S1031,95,78,29,2
S1032,96,37,40,5
S1033,96,53,23,2
S1034,96,64,40,1
S1035,96,12,33,1
S1036,96,60,38,4
S1037,96,61,33,5
S1038,96,80,38,5
S1039,96,63,46,4
S1040,97,60,53,4
S1041,97,64,32,3
S1042,97,91,36,3
S1043,97,38,37,2
S1044,97,100,36,2
S1045,97,51,40,3
S1046,97,86,37,2
S1047,97,69,30,2
S1048,97,39,39,3
S1049,97,62,65,1
S1050,97,76,49,5
S1051,98,36,36,1
S1052,99,67,42,1
S1053,100,52,46,1
S1054,100,89,36,4
S1055,100,44,38,4
S1056,100,28,20,1
S1057,100,94,23,1
S1058,100,21,49,2
S1059,100,76,46,5
S1060,100,100,31,1
S1061,100,60,41,2
S1062,100,47,30,4
S1063,100,61,31,1
S1064,100,79,31,5
S1065,101,68,36,5
S1066,101,90,36,5
S1067,101,77,48,3
S1068,101,60,55,3
S1069,102,45,31,3
S1070,102,29,26,3
S1071,102,81,27,4
S1072,102,76,54,4
S1073,102,67,19,4
S1074,102,45,45,4
S1075,102,69,57,3
S1076,102,56,40,4
S1077,102,44,46,3
S1078,102,42,49,4
S1079,103,80,55,1
S1080,103,81,33,4
S1081,103,45,33,2
S1082,103,48,40,4
S1083,103,64,28,4
S1084,103,38,44,5
S1085,103,45,33,1
S1086,103,86,63,4
S1087,103,42,44,4
S1088,103,31,35,1
S1089,103,85,48,4
S1090,103,42,40,3
S1091,103,62,48,4
S1092,104,70,34,3
S1093,104,40,37,1
S1094,104,56,20,1
S1095,104,52,48,1
S1096,105,80,31,5
S1097,105,82,32,3
S1098,105,75,34,5
S1099,105,64,39,1
S1100,105,79,36,2
S1101,106,54,16,1
S1102,106,75,37,1
S1103,106,33,34,3
S1104,106,29,32,3
S1105,106,65,37,2
S1106,106,100,34,2
S1107,106,55,33,2
S1108,106,63,37,5
S1109,106,42,30,1
S1110,106,62,37,3
S1111,107,69,46,3
S1112,107,58,26,3
S1113,107,58,38,1
S1114,107,57,44,1
S1115,107,61,58,5
S1116,107,46,48,1
S1117,107,68,31,5
S1118,107,55,43,3
S1119,107,43,51,1
S1120,107,91,30,5
S1121,107,36,48,1
S1122,108,39,34,3
S1142,109,58,51,5
S1143,109,40,46,5
S1144,109,47,41,1
S1145,109,63,29,1
S1146,109,95,31,1
S1147,109,69,26,5
S1148,109,57,35,1
S1149,109,100,23,1
S1150,109,71,43,2
S1151,109,56,28,4
S1152,109,64,31,4
S1153,110,70,33,2
S1154,110,69,27,3
S1155,110,68,35,4
S1156,110,95,66,1
S1157,110,98,45,2
S1158,110,61,40,3
S1159,110,70,26,4
S1160,110,61,27,5
S1161,110,46,44,4
S1162,110,34,31,5
S1163,110,81,41,4
S1164,110,76,25,1
S1165,111,61,33,5
S1166,111,29,43,2
S1167,111,36,48,3
S1168,111,100,28,3
S1169,111,45,30,4
S1170,111,43,39,4
S1171,111,33,28,1
S1172,111,100,40,1
S1173,111,56,39,3
S1174,111,80,28,1
S1175,111,81,45,4
S1176,111,57,37,3
S1177,111,95,48,3
S1178,112,89,32,1
S1179,112,59,36,3
S1180,112,52,35,3
S1181,112,62,34,3
S1182,112,46,19,2
S1183,112,63,31,3
S1184,112,47,28,5
S1185,112,56,40,2
S1186,112,63,18,3
S1187,112,51,40,3
S1188,113,61,26,1
S1189,113,54,35,1
S1190,113,42,44,5
S1191,113,83,44,1
S1192,114,49,42,2
S1193,114,36,57,5
S1194,114,58,41,1
S1195,114,44,37,1
S1196,114,57,55,5
S1197,114,49,56,3
S1198,114,31,43,1
S1199,114,54,40,1
S1200,114,61,35,2
S1201,115,70,29,4
S1202,115,66,38,3
S1203,115,71,38,3
S1204,115,64,34,2
S1205,115,76,44,1
S1206,115,72,53,4
S1207,115,68,21,3
S1208,116,72,56,1
S1209,116,84,36,2
S1210,116,90,48,2
S1211,116,63,31,3
S1212,116,100,36,4
S1213,116,23,36,1
S1214,116,77,41,5
S1215,116,16,38,4
S1216,116,85,32,2
S1217,116,62,44,3
S1218,116,92,34,1
S1219,116,68,58,4
S1220,116,43,31,2
S1221,116,81,51,1
S1222,117,41,26,4
S1223,117,28,54,3
S1224,117,34,41,3
S1225,117,42,38,5
S1226,117,74,50,3
S1227,117,46,46,3
S1228,117,40,45,4
S1229,117,95,25,1
S1230,117,80,48,5
S1231,117,60,45,1
S1232,117,65,38,3
S1233,117,11,40,3
S1234,117,42,39,2
S1235,118,100,48,5
S1236,118,66,50,1
S1237,118,70,35,5
S1238,118,70,39,2
S1239,118,93,27,1
S1240,118,56,56,5
S1241,118,67,56,5
S1242,119,47,43,5
S1243,119,52,27,5
S1244,120,23,31,5
S1245,121,51,29,5
S1246,121,74,37,1
S1247,121,83,43,5
S1248,121,68,40,5
S1249,121,76,30,4
S1250,121,51,55,2
S1251,121,86,39,2
S1252,121,61,41,3
S1253,122,61,49,2
S1254,122,71,28,3
S1255,122,37,39,1
S1256,122,90,44,3
S1257,122,54,35,2
S1258,122,46,50,2
S1259,123,77,43,1
S1260,123,34,49,3
S1261,123,42,34,3
S1262,123,52,39,1
S1263,123,83,28,3
S1264,123,55,38,1
S1265,123,59,45,2
S1266,123,82,26,1
S1267,123,75,46,2
S1268,123,47,46,1
S1269,123,61,48,1
S1270,123,43,35,3
S1271,123,28,32,5
S1272,123,76,47,2
S1273,123,68,37,4
S1274,124,47,35,3
S1275,124,26,31,1
S1276,124,19,56,1
S1277,124,41,32,2
S1278,124,99,46,1
S1279,124,73,13,2
S1280,124,63,29,3
S1281,124,29,47,1
S1282,124,60,29,3
S1283,124,30,42,5
S1284,124,51,41,1
S1285,124,63,39,2
S1286,124,66,31,4
S1287,124,75,48,5
S1288,124,19,47,5
S1289,124,54,44,5
S1290,124,48,46,1
S1291,124,72,38,1
S1292,124,82,33,1
S1293,125,27,56,2
S1294,125,68,49,5
S1295,125,5,42,2
S1296,125,91,28,3
S1297,125,81,35,4
S1298,125,75,57,4
S1299,125,76,30,5
S1300,125,79,24,5
S1301,125,41,48,3
S1302,125,53,23,1
S1303,125,72,46,5
S1304,125,39,37,1
S1305,125,28,52,5
S1306,125,63,56,1
S1307,125,41,36,3
S1308,125,40,47,3
S1309,125,95,26,4
S1310,126,49,29,3
S1311,126,39,53,5
S1312,126,54,28,1
S1313,126,94,59,4
S1314,126,55,26,4
S1315,126,60,36,4
S1316,126,86,30,1
S1317,126,54,30,4
S1318,126,62,34,2
S1319,126,67,47,5
S1320,126,59,39,5
S1321,126,63,36,4
S1322,126,49,56,2
S1323,126,46,26,2
S1324,126,67,50,4
S1325,126,47,38,3
S1326,126,55,49,2
S1327,127,63,40,4
S1347,128,85,36,3
S1348,128,55,40,2
S1349,128,55,41,3
S1350,128,100,46,4
S1351,128,61,37,3
S1352,128,69,48,5
S1353,128,47,15,2
S1354,128,52,31,3
S1355,128,70,51,4
S1356,128,65,54,3
S1357,128,84,64,5
S1358,128,49,49,2
S1359,128,74,35,4
