Seat_ID,Table_ID,Room_ID,Cleanliness,Noise,Seat_Available,Table_Available,Room_Available
70,7,2,86,91,True,True,True
71,8,3,35,65,True,True,True
72,8,3,99,47,True,True,True
73,8,3,78,3,True,True,True
74,8,3,1,5,True,True,True
75,8,3,90,14,True,True,True
76,8,3,27,9,True,True,True
77,8,3,79,15,True,True,True
78,8,3,90,42,True,True,True
79,8,3,77,51,True,True,True
80,8,3,63,96,True,True,True
81,9,4,52,96,True,True,True
82,9,4,4,94,True,True,True
83,9,4,23,15,True,True,True
84,9,4,43,29,True,True,True
85,9,4,36,13,True,True,True
86,9,4,32,71,True,True,True
87,9,4,59,86,True,True,True
88,9,4,28,66,True,True,True
89,9,4,42,45,True,True,True
90,9,4,62,57,True,True,True
91,10,5,6,28,True,True,True
92,10,5,28,44,True,True,True
93,10,5,84,30,True,True,True
94,10,5,62,75,True,True,True
95,10,5,92,89,True,True,True
96,10,5,62,97,True,True,True
97,10,5,1,27,True,True,True
98,10,5,62,77,True,True,True
99,10,5,3,70,True,True,True
100,10,5,72,27,True,True,True
101,11,1,9,62,True,True,True
102,11,1,37,97,True,True,True
103,11,1,51,44,True,True,True
104,11,1,24,79,True,True,True
105,11,1,59,32,True,True,True
106,11,1,96,88,True,True,True
107,11,1,52,62,True,True,True
108,11,1,58,52,True,True,True
109,11,1,12,39,True,True,True
110,11,1,2,3,True,True,True
111,12,2,56,81,True,True,True
112,12,2,59,2,True,True,True
113,12,2,2,92,True,True,True
114,12,2,54,87,True,True,True
115,12,2,96,97,True,True,True
116,12,2,1,19,True,True,True
117,12,2,2,53,True,True,True
118,12,2,44,90,True,True,True
119,12,2,32,70,True,True,True
120,12,2,32,68,True,True,True
121,13,3,55,75,True,True,True
122,13,3,56,17,True,True,True
123,13,3,38,24,True,True,True
124,13,3,69,98,True,True,True
125,13,3,70,86,True,True,True
126,13,3,11,16,True,True,True
127,13,3,97,73,True,True,True
128,13,3,59,70,True,True,True
129,13,3,80,93,True,True,True
130,13,3,3,20,True,True,True
131,14,4,59,36,True,True,True
132,14,4,19,90,True,True,True
133,14,4,67,19,True,True,True
134,14,4,20,96,True,True,True
135,14,4,71,52,True,True,True
136,14,4,33,40,True,True,True
137,14,4,39,82,True,True,True
138,14,4,1,11,True,True,True
139,14,4,92,57,True,True,True
140,14,4,89,50,True,True,True
141,15,5,23,31,True,True,True
142,15,5,94,42,True,True,True
143,15,5,99,7,True,True,True
144,15,5,16,90,True,True,True
145,15,5,60,2,True,True,True
146,15,5,1,48,True,True,True
147,15,5,12,69,True,True,True
148,15,5,37,32,True,True,True
149,15,5,9,99,True,True,True
150,15,5,19,48,True,True,True
151,16,1,80,3,True,True,True
152,16,1,20,24,True,True,True
153,16,1,54,33,True,True,True
154,16,1,24,75,True,True,True
155,16,1,72,36,True,True,True
156,16,1,38,84,True,True,True
157,16,1,99,89,True,True,True
158,16,1,99,25,True,True,True
159,16,1,93,18,True,True,True
160,16,1,82,66,True,True,True
161,17,2,54,35,True,True,True
162,17,2,80,61,True,True,True
163,17,2,41,100,True,True,True
164,17,2,33,68,True,True,True
165,17,2,33,14,True,True,True
166,17,2,21,48,True,True,True
167,17,2,20,8,True,True,True
168,17,2,7,67,True,True,True
169,17,2,17,33,True,True,True
170,17,2,48,76,True,True,True
171,18,3,59,86,True,True,True
172,18,3,22,30,True,True,True
173,18,3,38,51,True,True,True
174,18,3,54,8,True,True,True
175,18,3,27,27,True,True,True
176,18,3,98,21,True,True,True
177,18,3,30,97,True,True,True
178,18,3,28,64,True,True,True
179,18,3,97,69,True,True,True
180,18,3,61,48,True,True,True
181,19,4,19,4,True,True,True
182,19,4,35,64,True,True,True
183,19,4,49,17,True,True,True
184,19,4,44,92,True,True,True
185,19,4,30,93,True,True,True
186,19,4,46,6,True,True,True
187,19,4,99,37,True,True,True
188,19,4,24,93,True,True,True
189,19,4,46,53,True,True,True
190,19,4,95,99,True,True,True
191,20,5,60,97,True,True,True
192,20,5,63,85,True,True,True
193,20,5,32,87,True,True,True
194,20,5,33,67,True,True,True
195,20,5,18,25,True,True,True
196,20,5,95,54,True,True,True
197,20,5,58,67,True,True,True
198,20,5,46,24,True,True,True
199,20,5,32,47,True,True,True
200,20,5,86,23,True,True,True
201,21,1,66,27,True,True,True
202,21,1,2,90,True,True,True
203,21,1,17,33,True,True,True
204,21,1,9,43,True,True,True
205,21,1,48,39,True,True,True
206,21,1,93,42,True,True,True
207,21,1,26,99,True,True,True
208,21,1,50,25,True,True,True
209,21,1,24,13,True,True,True
210,21,1,60,7,True,True,True
211,22,2,57,36,True,True,True
212,22,2,45,20,True,True,True
213,22,2,65,8,True,True,True
214,22,2,16,14,True,True,True
215,22,2,76,87,True,True,True
216,22,2,15,92,True,True,True
217,22,2,98,66,True,True,True
218,22,2,32,87,True,True,True
219,22,2,63,86,True,True,True
220,22,2,51,25,True,True,True
221,23,3,58,63,True,True,True
222,23,3,62,22,True,True,True
223,23,3,58,58,True,True,True
224,23,3,86,49,True,True,True
225,23,3,52,42,True,True,True
226,23,3,70,15,True,True,True
227,23,3,54,60,True,True,True
228,23,3,97,8,True,True,True
229,23,3,53,60,True,True,True
230,23,3,5,68,True,True,True
231,24,4,6,96,True,True,True
232,24,4,94,47,True,True,True
233,24,4,99,55,True,True,True
234,24,4,40,52,True,True,True
235,24,4,16,13,True,True,True
236,24,4,30,19,True,True,True
237,24,4,17,63,True,True,True
238,24,4,19,92,True,True,True
239,24,4,58,55,True,True,True
240,24,4,90,90,True,True,True
241,25,5,62,23,True,True,True
242,25,5,9,12,True,True,True
243,25,5,1,58,True,True,True
244,25,5,1,34,True,True,True
245,25,5,96,48,True,True,True
246,25,5,89,1,True,True,True
247,25,5,16,61,True,True,True
248,25,5,64,63,True,True,True
249,25,5,69,22,True,True,True
250,25,5,93,67,True,True,True
251,26,1,76,26,True,True,True
252,26,1,16,51,True,True,True
253,26,1,86,57,True,True,True
254,26,1,29,78,True,True,True
255,26,1,92,69,True,True,True
256,26,1,47,94,True,True,True
257,26,1,62,69,True,True,True
258,26,1,76,16,True,True,True
259,26,1,90,90,True,True,True
260,26,1,48,85,True,True,True
261,27,2,39,100,True,True,True
262,27,2,33,94,True,True,True
263,27,2,23,10,True,True,True
264,27,2,69,100,True,True,True
265,27,2,34,52,True,True,True
266,27,2,95,10,True,True,True
267,27,2,19,58,True,True,True
268,27,2,96,1,True,True,True
269,27,2,69,4,True,True,True
270,27,2,16,24,True,True,True
271,28,3,80,2,True,True,True
272,28,3,92,32,True,True,True
273,28,3,91,84,True,True,True
274,28,3,24,12,True,True,True
275,28,3,50,35,True,True,True
276,28,3,33,33,True,True,True
277,28,3,61,51,True,True,True
278,28,3,43,12,True,True,True
279,28,3,67,65,True,True,True
280,28,3,33,40,True,True,True
281,29,4,74,43,True,True,True
282,29,4,44,29,True,True,True
283,29,4,13,12,True,True,True
284,29,4,95,46,True,True,True
285,29,4,2,35,True,True,True
286,29,4,87,81,True,True,True
287,29,4,90,8,True,True,True
288,29,4,93,26,True,True,True
289,29,4,74,90,True,True,True
290,29,4,34,7,True,True,True
291,30,5,68,58,True,True,True
292,30,5,75,29,True,True,True
293,30,5,36,89,True,True,True
294,30,5,21,36,True,True,True
295,30,5,10,73,True,True,True
296,30,5,24,64,True,True,True
297,30,5,99,49,True,True,True
298,30,5,99,36,True,True,True
299,30,5,82,96,True,True,True
300,30,5,24,23,True,True,True
301,31,1,62,96,True,True,True
302,31,1,37,12,True,True,True
303,31,1,55,13,True,True,True
304,31,1,23,89,True,True,True
305,31,1,99,30,True,True,True
306,31,1,17,62,True,True,True
307,31,1,84,89,True,True,True
308,31,1,86,13,True,True,True
309,31,1,59,19,True,True,True
310,31,1,49,100,True,True,True
311,32,2,12,61,True,True,True
312,32,2,19,76,True,True,True
313,32,2,9,71,True,True,True
314,32,2,28,78,True,True,True
315,32,2,95,52,True,True,True
316,32,2,83,16,True,True,True
317,32,2,69,99,True,True,True
318,32,2,12,25,True,True,True
319,32,2,52,85,True,True,True
320,32,2,100,53,True,True,True
321,33,3,23,16,True,True,True
322,33,3,57,39,True,True,True
323,33,3,53,42,True,True,True
324,33,3,58,39,True,True,True
325,33,3,14,95,True,True,True
326,33,3,5,35,True,True,True
327,33,3,87,93,True,True,True
328,33,3,75,18,True,True,True
329,33,3,76,9,True,True,True
330,33,3,74,58,True,True,True
331,34,4,17,7,True,True,True
332,34,4,46,13,True,True,True
333,34,4,40,42,True,True,True
334,34,4,9,50,True,True,True
335,34,4,27,66,True,True,True
336,34,4,5,29,True,True,True
337,34,4,37,38,True,True,True
338,34,4,83,8,True,True,True
339,34,4,65,86,True,True,True
340,34,4,17,71,True,True,True
341,35,5,89,45,True,True,True
342,35,5,4,36,True,True,True
343,35,5,70,31,True,True,True
344,35,5,19,61,True,True,True
345,35,5,54,39,True,True,True
346,35,5,91,74,True,True,True
347,35,5,90,19,True,True,True
348,35,5,39,67,True,True,True
349,35,5,45,13,True,True,True
350,35,5,92,58,True,True,True
351,36,1,20,92,True,True,True
352,36,1,72,61,True,True,True
353,36,1,39,1,True,True,True
354,36,1,3,77,True,True,True
355,36,1,92,62,True,True,True
356,36,1,63,25,True,True,True
357,36,1,56,33,True,True,True
358,36,1,38,6,True,True,True
359,36,1,58,44,True,True,True
360,36,1,45,32,True,True,True
361,37,2,45,61,True,True,True
362,37,2,47,21,True,True,True
363,37,2,80,85,True,True,True
364,37,2,75,36,True,True,True
365,37,2,99,19,True,True,True
366,37,2,20,57,True,True,True
367,37,2,18,47,True,True,True
368,37,2,49,14,True,True,True
369,37,2,15,31,True,True,True
370,37,2,1,54,True,True,True
371,38,3,3,16,True,True,True
372,38,3,87,57,True,True,True
373,38,3,75,12,True,True,True
374,38,3,74,96,True,True,True
375,38,3,16,72,True,True,True
376,38,3,76,24,True,True,True
377,38,3,28,8,True,True,True
378,38,3,92,36,True,True,True
379,38,3,90,8,True,True,True
380,38,3,58,60,True,True,True
381,39,4,50,28,True,True,True
382,39,4,92,41,True,True,True
383,39,4,100,64,True,True,True
384,39,4,27,63,True,True,True
385,39,4,17,73,True,True,True
386,39,4,33,84,True,True,True
387,39,4,77,92,True,True,True
388,39,4,29,13,True,True,True
389,39,4,46,35,True,True,True
390,39,4,6,82,True,True,True
391,40,5,69,47,True,True,True
392,40,5,25,66,True,True,True
393,40,5,10,56,True,True,True
394,40,5,30,5,True,True,True
395,40,5,33,65,True,True,True
396,40,5,18,96,True,True,True
397,40,5,49,11,True,True,True
398,40,5,85,26,True,True,True
399,40,5,63,89,True,True,True
400,40,5,86,59,True,True,True
401,41,1,27,49,True,True,True
402,41,1,77,33,True,True,True
403,41,1,98,99,True,True,True
404,41,1,1,21,True,True,True
405,41,1,55,6,True,True,True
406,41,1,92,81,True,True,True
407,41,1,69,95,True,True,True
408,41,1,5,3,True,True,True
409,41,1,53,23,True,True,True
410,41,1,53,37,True,True,True
411,42,2,74,74,True,True,True
412,42,2,83,17,True,True,True
413,42,2,85,78,True,True,True
414,42,2,73,1,True,True,True
415,42,2,51,45,True,True,True
416,42,2,77,4,True,True,True
417,42,2,62,65,True,True,True
418,42,2,32,34,True,True,True
419,42,2,92,95,True,True,True
420,42,2,72,39,True,True,True
421,43,3,26,34,True,True,True
422,43,3,54,3,True,True,True
423,43,3,50,12,True,True,True
424,43,3,65,54,True,True,True
425,43,3,5,94,True,True,True
426,43,3,94,57,True,True,True
427,43,3,17,47,True,True,True
428,43,3,23,79,True,True,True
429,43,3,85,14,True,True,True
430,43,3,66,75,True,True,True
431,44,4,51,38,True,True,True
432,44,4,64,98,True,True,True
433,44,4,38,50,True,True,True
434,44,4,98,82,True,True,True
435,44,4,30,79,True,True,True
436,44,4,91,51,True,True,True
437,44,4,63,98,True,True,True
438,44,4,52,38,True,True,True
439,44,4,97,88,True,True,True
440,44,4,79,30,True,True,True
441,45,5,51,81,True,True,True
442,45,5,5,29,True,True,True
443,45,5,4,10,True,True,True
444,45,5,56,17,True,True,True
445,45,5,74,17,True,True,True
446,45,5,84,88,True,True,True
447,45,5,69,34,True,True,True
448,45,5,6,53,True,True,True
449,45,5,66,77,True,True,True
450,45,5,43,75,True,True,True
451,46,1,23,55,True,True,True
452,46,1,80,95,True,True,True
453,46,1,75,16,True,True,True
454,46,1,8,4,True,True,True
455,46,1,4,56,True,True,True
456,46,1,25,67,True,True,True
457,46,1,96,67,True,True,True
458,46,1,27,93,True,True,True
459,46,1,32,50,True,True,True
460,46,1,61,51,True,True,True
461,47,2,19,21,True,True,True
462,47,2,5,82,True,True,True
463,47,2,92,42,True,True,True
464,47,2,61,22,True,True,True
465,47,2,21,70,True,True,True
466,47,2,1,5,True,True,True
467,47,2,12,90,True,True,True
468,47,2,46,34,True,True,True
469,47,2,49,78,True,True,True
470,47,2,90,45,True,True,True
471,48,3,27,73,True,True,True
472,48,3,26,47,True,True,True
473,48,3,86,56,True,True,True
474,48,3,94,63,True,True,True
475,48,3,48,61,True,True,True
476,48,3,81,26,True,True,True
477,48,3,36,1,True,True,True
478,48,3,8,99,True,True,True
479,48,3,52,79,True,True,True
480,48,3,47,56,True,True,True
481,49,4,86,14,True,True,True
482,49,4,90,28,True,True,True
483,49,4,87,78,True,True,True
484,49,4,88,2,True,True,True
485,49,4,26,14,True,True,True
486,49,4,59,56,True,True,True
487,49,4,7,3,True,True,True
488,49,4,23,18,True,True,True
489,49,4,38,99,True,True,True
490,49,4,15,64,True,True,True
491,50,5,89,28,True,True,True
492,50,5,74,39,True,True,True
493,50,5,57,17,True,True,True
494,50,5,86,90,True,True,True
495,50,5,44,25,True,True,True
496,50,5,17,13,True,True,True
497,50,5,84,25,True,True,True
498,50,5,68,10,True,True,True
499,50,5,67,18,True,True,True
500,50,5,100,86,True,True,True
501,51,1,34,8,True,True,True
502,51,1,40,83,True,True,True
503,51,1,42,41,True,True,True
504,51,1,6,52,True,True,True
505,51,1,26,64,True,True,True
506,51,1,98,59,True,True,True
507,51,1,56,59,True,True,True
508,51,1,70,33,True,True,True
509,51,1,53,22,True,True,True
510,51,1,21,70,True,True,True
511,52,2,70,4,True,True,True
512,52,2,94,75,True,True,True
513,52,2,62,62,True,True,True
514,52,2,94,95,True,True,True
515,52,2,24,55,True,True,True
516,52,2,9,3,True,True,True
517,52,2,31,40,True,True,True
518,52,2,36,24,True,True,True
519,52,2,95,6,True,True,True
520,52,2,66,84,True,True,True
521,53,3,92,75,True,True,True
522,53,3,4,79,True,True,True
523,53,3,6,94,True,True,True
524,53,3,51,62,True,True,True
525,53,3,57,66,True,True,True
526,53,3,79,75,True,True,True
527,53,3,8,26,True,True,True
528,53,3,51,45,True,True,True
529,53,3,44,5,True,True,True
530,53,3,70,26,True,True,True
531,54,4,68,19,True,True,True
532,54,4,84,97,True,True,True
533,54,4,20,12,True,True,True
534,54,4,47,1,True,True,True
535,54,4,90,14,True,True,True
536,54,4,64,38,True,True,True
537,54,4,37,11,True,True,True
538,54,4,100,77,True,True,True
539,54,4,3,33,True,True,True
540,54,4,6,50,True,True,True
541,55,5,10,5,True,True,True
542,55,5,23,10,True,True,True
543,55,5,44,2,True,True,True
544,55,5,13,40,True,True,True
545,55,5,2,84,True,True,True
546,55,5,65,63,True,True,True
547,55,5,73,17,True,True,True
548,55,5,9,75,True,True,True
549,55,5,15,24,True,True,True
550,55,5,38,35,True,True,True
551,56,1,94,95,True,True,True
552,56,1,49,69,True,True,True
553,56,1,62,60,True,True,True
554,56,1,50,78,True,True,True
555,56,1,75,9,True,True,True
556,56,1,34,76,True,True,True
557,56,1,99,35,True,True,True
558,56,1,1,40,True,True,True
559,56,1,64,22,True,True,True
560,56,1,60,64,True,True,True
561,57,2,93,72,True,True,True
562,57,2,11,14,True,True,True
563,57,2,60,30,True,True,True
564,57,2,35,85,True,True,True
565,57,2,37,5,True,True,True
566,57,2,83,78,True,True,True
567,57,2,26,62,True,True,True
568,57,2,4,89,True,True,True
569,57,2,42,89,True,True,True
570,57,2,18,40,True,True,True
571,58,3,72,39,True,True,True
572,58,3,14,32,True,True,True
573,58,3,51,38,True,True,True
574,58,3,97,23,True,True,True
575,58,3,63,15,True,True,True
576,58,3,97,25,True,True,True
577,58,3,17,97,True,True,True
578,58,3,66,78,True,True,True
579,58,3,53,51,True,True,True
580,58,3,39,51,True,True,True
581,59,4,70,6,True,True,True
582,59,4,67,7,True,True,True
583,59,4,51,72,True,True,True
584,59,4,42,64,True,True,True
585,59,4,15,29,True,True,True
586,59,4,33,94,True,True,True
587,59,4,27,36,True,True,True
588,59,4,29,38,True,True,True
589,59,4,57,97,True,True,True
590,59,4,27,55,True,True,True
591,60,5,33,68,True,True,True
592,60,5,86,66,True,True,True
593,60,5,10,5,True,True,True
594,60,5,74,97,True,True,True
595,60,5,38,13,True,True,True
596,60,5,31,47,True,True,True
597,60,5,100,88,True,True,True
598,60,5,52,56,True,True,True
599,60,5,15,29,True,True,True
600,60,5,8,5,True,True,True
601,61,1,29,47,True,True,True
602,61,1,68,76,True,True,True
603,61,1,45,2,True,True,True
604,61,1,27,95,True,True,True
605,61,1,36,36,True,True,True
606,61,1,26,43,True,True,True
607,61,1,27,69,True,True,True
608,61,1,20,11,True,True,True
609,61,1,74,38,True,True,True
610,61,1,6,72,True,True,True
611,62,2,23,47,True,True,True
612,62,2,90,46,True,True,True
613,62,2,12,90,True,True,True
614,62,2,13,62,True,True,True
615,62,2,82,89,True,True,True
616,62,2,97,60,True,True,True
617,62,2,43,76,True,True,True
618,62,2,100,68,True,True,True
619,62,2,5,37,True,True,True
620,62,2,72,92,True,True,True
621,63,3,31,9,True,True,True
622,63,3,51,29,True,True,True
623,63,3,78,40,True,True,True
624,63,3,41,86,True,True,True
625,63,3,11,23,True,True,True
626,63,3,1,46,True,True,True
627,63,3,21,90,True,True,True
628,63,3,36,54,True,True,True
629,63,3,87,57,True,True,True
630,63,3,1,63,True,True,True
631,64,4,54,55,True,True,True
632,64,4,40,15,True,True,True
633,64,4,21,47,True,True,True
634,64,4,73,53,True,True,True
635,64,4,9,74,True,True,True
636,64,4,52,57,True,True,True
637,64,4,26,41,True,True,True
638,64,4,35,63,True,True,True
639,64,4,25,90,True,True,True
640,64,4,75,38,True,True,True
641,65,5,2,7,True,True,True
642,65,5,82,91,True,True,True
643,65,5,34,91,True,True,True
644,65,5,17,43,True,True,True
645,65,5,59,51,True,True,True
646,65,5,54,24,True,True,True
647,65,5,25,71,True,True,True
648,65,5,52,70,True,True,True
649,65,5,88,33,True,True,True
650,65,5,49,29,True,True,True
651,66,1,63,22,True,True,True
652,66,1,26,28,True,True,True
653,66,1,85,49,True,True,True
654,66,1,71,81,True,True,True
655,66,1,84,49,True,True,True
656,66,1,20,86,True,True,True
657,66,1,92,63,True,True,True
658,66,1,61,49,True,True,True
659,66,1,71,1,True,True,True
660,66,1,96,13,True,True,True
661,67,2,94,87,True,True,True
662,67,2,51,56,True,True,True
663,67,2,83,62,True,True,True
664,67,2,32,30,True,True,True
665,67,2,29,49,True,True,True
666,67,2,45,93,True,True,True
667,67,2,30,16,True,True,True
668,67,2,40,19,True,True,True
669,67,2,18,1,True,True,True
670,67,2,78,47,True,True,True
671,68,3,66,92,True,True,True
672,68,3,94,38,True,True,True
673,68,3,51,63,True,True,True
674,68,3,4,1,True,True,True
675,68,3,8,29,True,True,True
676,68,3,55,3,True,True,True
677,68,3,32,10,True,True,True
678,68,3,74,83,True,True,True
679,68,3,34,97,True,True,True
680,68,3,87,55,True,True,True
681,69,4,92,32,True,True,True
682,69,4,50,7,True,True,True
683,69,4,93,8,True,True,True
684,69,4,65,57,True,True,True
685,69,4,67,88,True,True,True
686,69,4,87,59,True,True,True
687,69,4,72,54,True,True,True
688,69,4,67,51,True,True,True
689,69,4,97,92,True,True,True
690,69,4,8,34,True,True,True
691,70,5,35,96,True,True,True
692,70,5,88,78,True,True,True
693,70,5,32,46,True,True,True
694,70,5,16,68,True,True,True
695,70,5,37,54,True,True,True
696,70,5,85,14,True,True,True
697,70,5,95,55,True,True,True
698,70,5,48,82,True,True,True
699,70,5,7,74,True,True,True
700,70,5,7,33,True,True,True
701,71,1,23,85,True,True,True
702,71,1,19,19,True,True,True
703,71,1,36,29,True,True,True
704,71,1,60,82,True,True,True
705,71,1,2,1,True,True,True
706,71,1,47,69,True,True,True
707,71,1,20,11,True,True,True
708,71,1,2,67,True,True,True
709,71,1,87,12,True,True,True
710,71,1,20,5,True,True,True
711,72,2,37,38,True,True,True
712,72,2,94,9,True,True,True
713,72,2,98,53,True,True,True
714,72,2,44,99,True,True,True
715,72,2,86,24,True,True,True
716,72,2,81,74,True,True,True
717,72,2,30,59,True,True,True
718,72,2,87,96,True,True,True
719,72,2,81,81,True,True,True
720,72,2,14,9,True,True,True
721,73,3,40,66,True,True,True
722,73,3,25,73,True,True,True
723,73,3,22,4,True,True,True
724,73,3,26,58,True,True,True
725,73,3,29,98,True,True,True
726,73,3,87,37,True,True,True
727,73,3,75,70,True,True,True
728,73,3,18,85,True,True,True
729,73,3,42,100,True,True,True
730,73,3,41,38,True,True,True
731,74,4,34,17,True,True,True
732,74,4,37,25,True,True,True
733,74,4,76,87,True,True,True
734,74,4,86,85,True,True,True
735,74,4,27,57,True,True,True
736,74,4,31,6,True,True,True
737,74,4,91,40,True,True,True
738,74,4,98,12,True,True,True
739,74,4,53,71,True,True,True
740,74,4,10,45,True,True,True
741,75,5,17,26,True,True,True
742,75,5,85,92,True,True,True
743,75,5,62,46,True,True,True
744,75,5,64,2,True,True,True
745,75,5,54,65,True,True,True
746,75,5,51,53,True,True,True
747,75,5,36,26,True,True,True
748,75,5,29,21,True,True,True
749,75,5,11,40,True,True,True
750,75,5,11,36,True,True,True
751,76,1,59,39,True,True,True
752,76,1,99,54,True,True,True
753,76,1,98,55,True,True,True
754,76,1,24,22,True,True,True
755,76,1,69,56,True,True,True
756,76,1,33,36,True,True,True
757,76,1,20,83,True,True,True
758,76,1,99,81,True,True,True
759,76,1,62,98,True,True,True
760,76,1,73,26,True,True,True
761,77,2,66,73,True,True,True
762,77,2,73,40,True,True,True
763,77,2,17,1,True,True,True
764,77,2,89,61,True,True,True
765,77,2,43,42,True,True,True
766,77,2,25,39,True,True,True
767,77,2,35,3,True,True,True
768,77,2,44,51,True,True,True
769,77,2,94,98,True,True,True
770,77,2,12,19,True,True,True
771,78,3,44,59,True,True,True
772,78,3,49,61,True,True,True
773,78,3,17,74,True,True,True
774,78,3,57,55,True,True,True
775,78,3,47,12,True,True,True
776,78,3,62,80,True,True,True
777,78,3,88,83,True,True,True
778,78,3,8,95,True,True,True
779,78,3,21,81,True,True,True
780,78,3,87,80,True,True,True
781,79,4,70,72,True,True,True
782,79,4,25,82,True,True,True
783,79,4,89,12,True,True,True
784,79,4,15,59,True,True,True
785,79,4,26,26,True,True,True
786,79,4,47,32,True,True,True
787,79,4,10,16,True,True,True
788,79,4,71,17,True,True,True
789,79,4,23,26,True,True,True
790,79,4,85,86,True,True,True
791,80,5,7,14,True,True,True
792,80,5,79,7,True,True,True
793,80,5,9,48,True,True,True
794,80,5,72,59,True,True,True
795,80,5,87,93,True,True,True
796,80,5,82,95,True,True,True
797,80,5,94,39,True,True,True
798,80,5,99,18,True,True,True
799,80,5,59,17,True,True,True
800,80,5,14,31,True,True,True
801,81,1,24,99,True,True,True
802,81,1,60,45,True,True,True
803,81,1,98,3,True,True,True
804,81,1,37,43,True,True,True
805,81,1,40,90,True,True,True
806,81,1,55,87,True,True,True
807,81,1,39,15,True,True,True
808,81,1,4,93,True,True,True
809,81,1,86,25,True,True,True
810,81,1,13,82,True,True,True
811,82,2,33,16,True,True,True
812,82,2,42,66,True,True,True
813,82,2,55,99,True,True,True
814,82,2,42,34,True,True,True
815,82,2,30,13,True,True,True
816,82,2,13,18,True,True,True
817,82,2,32,96,True,True,True
818,82,2,99,39,True,True,True
819,82,2,46,29,True,True,True
820,82,2,62,93,True,True,True
821,83,3,62,57,True,True,True
822,83,3,16,56,True,True,True
823,83,3,10,30,True,True,True
824,83,3,25,84,True,True,True
825,83,3,5,65,True,True,True
826,83,3,94,49,True,True,True
827,83,3,3,45,True,True,True
828,83,3,14,30,True,True,True
829,83,3,68,18,True,True,True
830,83,3,62,37,True,True,True
831,84,4,25,48,True,True,True
832,84,4,65,53,True,True,True
833,84,4,79,73,True,True,True
834,84,4,15,49,True,True,True
835,84,4,88,68,True,True,True
836,84,4,12,59,True,True,True
837,84,4,37,61,True,True,True
838,84,4,43,70,True,True,True
839,84,4,39,56,True,True,True
840,84,4,63,46,True,True,True
841,85,5,88,11,True,True,True
842,85,5,62,77,True,True,True
843,85,5,98,25,True,True,True
844,85,5,71,52,True,True,True
845,85,5,4,59,True,True,True
846,85,5,72,20,True,True,True
847,85,5,93,63,True,True,True
848,85,5,54,74,True,True,True
849,85,5,98,57,True,True,True
850,85,5,90,41,True,True,True
851,86,1,3,6,True,True,True
852,86,1,5,5,True,True,True
853,86,1,54,47,True,True,True
854,86,1,87,49,True,True,True
855,86,1,9,99,True,True,True
856,86,1,20,61,True,True,True
857,86,1,35,50,True,True,True
858,86,1,82,62,True,True,True
859,86,1,17,88,True,True,True
860,86,1,3,32,True,True,True
861,87,2,99,13,True,True,True
862,87,2,89,73,True,True,True
863,87,2,68,14,True,True,True
864,87,2,98,11,True,True,True
865,87,2,56,67,True,True,True
866,87,2,92,29,True,True,True
867,87,2,9,67,True,True,True
868,87,2,25,98,True,True,True
